number_of_tag_barcode,number_of_pcr_index,input_cell_number,tag_sort_cell_number,pcr_sort_cell_number,collision_rate,total_nuclei,recovered_barcode,cluster_per_nucleus
384,177,56000,141,17,0.09111152347374281,5389,5140,77821
384,193,56000,170,34,0.08739730816290858,5721,5467,73166
384,209,56000,179,14,0.0910377358490566,6360,6066,65941
384,225,56000,154,34,0.08185460789925587,6988,6697,59728
384,241,56000,120,28,0.08463343918265911,7243,6932,57703
384,257,56000,166,22,0.08293140407288317,7464,7150,55944
384,273,56000,172,41,0.08819774863641638,8617,8230,48603
384,289,56000,112,32,0.08779692594317652,8588,8206,48745
384,305,56000,140,33,0.08555627846454131,9222,8823,45336
384,321,56000,164,13,0.08652951514524966,9673,9248,43253
384,337,56000,114,26,0.08675616108996193,9982,9543,41916
384,353,56000,121,31,0.08712406015037594,10640,10171,39327
384,369,56000,156,29,0.08700361010830325,11080,10588,37779
384,1,60000,123,19,0.10526315789473684,19,18,22222222
384,17,60000,173,32,0.08528784648187633,469,449,890869
384,33,60000,198,34,0.07601184600197433,1013,974,410678
384,49,60000,106,39,0.08477970627503338,1498,1433,279135
384,65,60000,175,28,0.07477619799894682,1899,1827,218938
384,81,60000,99,21,0.07422680412371134,2425,2334,171380
384,97,60000,197,21,0.08507718696397942,2915,2790,143369
384,113,60000,163,45,0.08598452278589853,3489,3334,119976
384,129,60000,124,14,0.09129738387613455,3746,3574,111919
384,145,60000,120,44,0.08191513501248014,4407,4224,94697
384,161,60000,104,34,0.08961303462321792,4910,4686,85361
384,177,60000,208,32,0.0846063454759107,5106,4884,81900
384,193,60000,127,25,0.09170530654301906,5823,5552,72046
384,209,60000,209,37,0.08085993903417295,6233,5977,66923
384,225,60000,122,29,0.08204428268122535,6594,6320,63291
384,241,60000,130,23,0.09076064770717104,7349,7010,57061
384,257,60000,114,27,0.08370400323493732,7419,7103,56314
384,273,60000,100,30,0.08249423753487808,8243,7898,50646
384,289,60000,136,42,0.08402690685212633,8771,8400,47619
384,305,60000,135,27,0.08561080013170892,9111,8715,45898
384,321,60000,158,30,0.08049183715643728,9678,9279,43108
384,337,60000,122,22,0.07708606598728686,9911,9525,41995
384,353,60000,144,35,0.08258200652215615,10426,9991,40036
384,369,60000,159,17,0.08726327515781657,10772,10298,38842
384,1,64000,170,31,0.1935483870967742,31,28,14285714
384,17,64000,167,47,0.0976027397260274,584,555,720721
384,33,64000,145,28,0.08145766345123258,933,895,446927
384,49,64000,181,28,0.08321775312066575,1442,1382,289436
384,65,64000,178,19,0.08399602385685885,2012,1925,207792
384,81,64000,167,32,0.08774834437086093,2416,2308,173310
384,97,64000,189,37,0.07565470417070805,3093,2974,134499
384,113,64000,146,51,0.07919301415236375,3321,3189,125431
384,129,64000,221,31,0.06870229007633588,3668,3540,112994
384,145,64000,150,26,0.09344958640733289,4473,4260,93897
384,161,64000,92,22,0.07230965546575925,4702,4530,88300
384,177,64000,198,24,0.08925898203592815,5344,5100,78431
384,193,64000,205,33,0.07800205268559698,5846,5614,71250
384,209,64000,130,32,0.08359872611464968,6280,6015,66500
384,225,64000,151,47,0.07874015748031496,6731,6461,61910
384,241,64000,177,42,0.0790109421628535,7037,6755,59215
384,257,64000,248,10,0.08158070997990623,7465,7155,55905
384,273,64000,190,25,0.07832288208533136,8133,7809,51223
384,289,64000,178,28,0.08029523596510847,8942,8579,46625
384,305,64000,235,38,0.0822084531976101,9038,8662,46179
384,321,64000,72,44,0.08492071937852506,9397,8992,44484
384,337,64000,112,27,0.0796039603960396,10100,9692,41271
384,353,64000,133,29,0.08438898942756452,10499,10050,39801
384,369,64000,135,30,0.0899447316812266,11218,10706,37362
384,1,68000,155,24,0.0,24,24,16666667
384,17,68000,195,16,0.07293666026871401,521,502,796813
384,33,68000,160,33,0.08911917098445596,965,922,433839
384,49,68000,181,30,0.06618181818181817,1375,1329,300978
384,65,68000,205,26,0.09367455335586673,2071,1973,202737
384,81,68000,147,36,0.07839866555462886,2398,2302,173762
